"","V1"
"2016-08-16 19:47:36",0
"2016-08-16 19:47:41",-0.687142190057784
"2016-08-16 19:47:46",-1.66663792915642
"2016-08-16 19:47:51",-2.4163484419696
"2016-08-16 19:47:56",-3.24476674618199
"2016-08-16 19:48:01",-2.94339837529697
"2016-08-16 19:48:06",-2.98623557132669
"2016-08-16 19:48:11",-2.64236549008638
"2016-08-16 19:48:16",-2.72025405615568
"2016-08-16 19:48:21",-2.06491358787753
"2016-08-16 19:48:26",-1.36011961335316
"2016-08-16 19:48:31",-0.519034235272557
"2016-08-16 19:48:36",-0.990856482181698
"2016-08-16 19:48:41",-1.57178117753938
"2016-08-16 19:48:46",-1.02964447182603
"2016-08-16 19:48:51",-1.67553187906742
"2016-08-16 19:48:56",-0.86864547082223
"2016-08-16 19:49:01",-1.3671085126698
"2016-08-16 19:49:06",-0.695919520454481
"2016-08-16 19:49:11",-0.428387445630506
"2016-08-16 19:49:16",-1.41889960807748
"2016-08-16 19:49:21",-0.639905650401488
"2016-08-16 19:49:26",-0.95774263725616
"2016-08-16 19:49:31",-1.71767788054422
"2016-08-16 19:49:36",-2.06462705833837
"2016-08-16 19:49:41",-1.95649669831619
"2016-08-16 19:49:46",-1.3169481200166
"2016-08-16 19:49:51",-0.428136148955673
"2016-08-16 19:49:56",0.242727424250916
"2016-08-16 19:50:01",0.451357347890735
"2016-08-16 19:50:06",1.41643834952265
"2016-08-16 19:50:11",0.764651269419119
"2016-08-16 19:50:16",-0.21543544717133
"2016-08-16 19:50:21",-1.01137668523006
"2016-08-16 19:50:26",-0.905500369379297
"2016-08-16 19:50:31",-0.545270567759871
"2016-08-16 19:50:36",-0.388679355382919
"2016-08-16 19:50:41",-0.473045441554859
"2016-08-16 19:50:46",0.333566928515211
"2016-08-16 19:50:51",1.13095487398095
"2016-08-16 19:50:56",0.803974121110514
"2016-08-16 19:51:01",1.36994909215719
"2016-08-16 19:51:06",1.68078041891567
"2016-08-16 19:51:11",1.98942696466111
"2016-08-16 19:51:16",1.45500051579438
"2016-08-16 19:51:21",1.59360259468667
"2016-08-16 19:51:26",1.45268263039179
"2016-08-16 19:51:31",1.46547428960912
"2016-08-16 19:51:36",0.496943217236549
"2016-08-16 19:51:41",1.29245338100009
"2016-08-16 19:51:46",1.29245338100009
"2016-08-16 19:51:51",5.29245338100009
"2016-08-16 19:51:56",3.29245338100009
"2016-08-16 19:52:01",12.2924533810001
"2016-08-16 19:52:06",3.29245338100009
"2016-08-16 19:52:11",5.29245338100009
"2016-08-16 19:52:16",1.29245338100009
"2016-08-16 19:52:21",0.905596606433392
"2016-08-16 19:52:26",0.264384523266926
"2016-08-16 19:52:31",-0.0949835097417235
"2016-08-16 19:52:36",-0.796420984668657
"2016-08-16 19:52:41",-1.71686948905699
"2016-08-16 19:52:46",-1.05762374866754
"2016-08-16 19:52:51",-0.653158662375063
"2016-08-16 19:52:56",-0.974723109044135
"2016-08-16 19:53:01",-1.25965880276635
"2016-08-16 19:53:06",-0.671354532940313
"2016-08-16 19:53:11",-0.388217011699453
"2016-08-16 19:53:16",-0.488201894098893
"2016-08-16 19:53:21",0.148681359831244
"2016-08-16 19:53:26",0.325430650496855
"2016-08-16 19:53:31",0.856726896716282
"2016-08-16 19:53:36",1.16777705587447
"2016-08-16 19:53:41",0.502278045518324
"2016-08-16 19:53:46",0.718841618392617
"2016-08-16 19:53:51",0.614540721289814
"2016-08-16 19:53:56",1.37354476633482
"2016-08-16 19:54:01",2.26938462583348
"2016-08-16 19:54:06",1.3645875051152
"2016-08-16 19:54:11",2.0668144824449
"2016-08-16 19:54:16",2.36766259395517
"2016-08-16 19:54:21",2.45801980583929
"2016-08-16 19:54:26",1.5511126301717
"2016-08-16 19:54:31",2.09168854169548
"2016-08-16 19:54:36",2.57161247287877
"2016-08-16 19:54:41",3.14967715064995
"2016-08-16 19:54:46",2.72738595702685
"2016-08-16 19:54:51",3.57945953053422
"2016-08-16 19:54:56",2.8644557853695
"2016-08-16 19:55:01",3.52459674421698
"2016-08-16 19:55:06",2.99489321419969
"2016-08-16 19:55:11",2.45648321951739
"2016-08-16 19:55:16",1.75188132934272
"2016-08-16 19:55:21",1.78505155351013
"2016-08-16 19:55:26",2.6330585507676
"2016-08-16 19:55:31",3.13649534923024
"2016-08-16 19:55:36",2.9838319150731
"2016-08-16 19:55:41",2.98594663315453
"2016-08-16 19:55:46",3.16090998798609
"2016-08-16 19:55:51",3.17231432627887
